AutoNumber,Descriptive Name,Comic Series,Comic Volume,Comic Number,Printing/Edition,Comic Publisher,Month/Year Published,Comic Price,Bought At,Bought Date,Bought Price,Quantity,Notes
282,Action Zone (CBS Presents),CBS Presents,1,1,,CBS,1994,0.00,K Mart (?),,0.00,1,
283,Adventures of Superman #456,Adventures of Superman,1,456,,DC,July 1989,0.75,,,,1,
284,Adventures of Superman #481,Adventures of Superman,1,481,,DC,August 1991,1.00,,,,1,1991-25
285,Adventures of Superman #484,Adventures of Superman,1,484,,DC,November 1991,1.00,,,,1,1991-37: Blackout 1
286,Adventures of Superman #492,Adventures of Superman,1,492,,DC,July 1992,1.25,,,,1,1992-27
287,Adventures of Superman #499,Adventures of Superman,1,499,,DC,February 1993,1.25,,,,1,1993-7: Funeral For A Friend 5
288,Adventures of Superman #500,Adventures of Superman,1,500,,DC,June 1993,2.50,,,,1,1993-11
477,Anything Goes! #5,Anything Goes!,1,5,,,October 1987,2.00,eBay - time_trip_3000,2005.09.07,7.90,1,$4.95 + $2.95 s/h
289,"April O'Neil Vol 1, #1",April O'Neil,1,1,,Archie,,1.25,,,,1,
290,"April O'Neil Vol 1, #3",April O'Neil,1,3,,Archie,,1.25,,,,1,
472,"April O'Neil Vol 2, #1",April O'Neil: The May East Saga,1,1,,Archie,April 1993,1.25,Mirage Publishing (Online),2005.08.26,5.00,1,
473,"April O'Neil Vol 2, #2",April O'Neil: The May East Saga,1,2,,Archie,May 1993,1.25,Mirage Publishing (Online),2005.08.26,5.00,1,
291,"April O'Neil Vol 2, #3",April O'Neil: The May East Saga,2,3,,Archie,,1.25,,,,1,
387,Batman #431,Batman,1,431,,DC,Mar 89,0.75,Power House Comics,02.15.2003,2.00,1,The Wall
388,Batman #432,Batman,1,432,,DC,Apr 89,0.75,Power House Comics,02.15.2003,2.00,1,Dead Letter Office
1,Batman #433,Batman,1,433,,DC,May 89,0.75,,,2.00,1,The Many Deaths of the Batman Part One of Three.  Chapter One: Period of Mourning.
2,Batman #434,Batman,1,434,,DC,Jun 89,0.75,,,,1,The Many Deaths of the Batman Part Two of Three.  Chapter Two: How Many Times Can A Batman Die?
3,Batman #435,Batman,1,435,,DC,Jul 89,0.75,,,,1,The Many Deaths of the Batman Part Three of Three.  Chapter Three: The Last Death of the Batman.
405,Batman #443,Batman,1,443,,DC,Jan 90,1.00,The Great Escape,03.14.2003,2.00,1,The Coming of the Crimesmith
406,Batman #444,Batman,1,444,,DC,Feb 90,1.00,The Great Escape,03.14.2003,2.00,1,Crimesmith and Punishment
407,Batman #445,Batman,1,445,,DC,Mar 90,1.00,The Great Escape,03.14.2003,2.00,1,When the Earth Dies! Chapter One: Red Square! Bloody Square!
408,Batman #446,Batman,1,446,,DC,Apr 90,1.00,The Great Escape,03.14.2003,2.00,1,When the Earth Dies Chapter Two: Underworlds
409,Batman #447,Batman,1,447,,DC,May 90,1.00,The Great Escape,03.14.2003,2.00,1,Earth Day! Demon Night!
389,Batman #448,Batman,1,448,,DC,Early Jun 90,1.00,The Great Escape,02.22.2003,2.00,1,The Penguin Affair 1 of 3: Pawns
390,Batman #449,Batman,1,449,,DC,Late Jun 90,1.00,The Great Escape,02.22.2003,2.00,1,The Penguin Affair 3 of 3: Winged Vengeance
361,Batman #450,Batman,1,450,,DC,Early July 90,1.00,The Great Escape,01.18.2003,3.00,1,Wild Card!
362,Batman #451,Batman,1,451,,DC,Late Jul 90,1.00,The Great Escape,01.18.2003,3.00,1,Judgements!
355,Batman #452,Batman,1,452,1st,DC,August 90,1.00,Power House Comics,12.20.2002,1.75,1,Dark Knight/Dark City Part One of Three.
4,Batman #453,Batman,1,453,,DC,Late Aug 90,1.00,,,,1,Dark Knight/Dark City Part Two of Three.
356,Batman #454,Batman,1,454,,DC,Sep 90,1.00,Power House Comics,12.20.2002,1.75,1,Dark Knight/Dark City Part Three of Three.
363,Batman #455,Batman,1,455,,DC,Oct 90,1.00,The Great Escape,01.18.2003,2.00,1,Identity Crisis: Part One
364,Batman #456,Batman,1,456,,DC,Nov 90,1.00,The Great Escape,01.18.2003,2.00,1,Identity Crisis Part Two: Without Fear of Consequence…
365,Batman #457,Batman,1,457,,DC,Dec 90,1.00,The Great Escape,01.18.2003,5.00,1,Master of Fear
366,Batman #458,Batman,1,458,,DC,Jan 91,1.00,The Great Escape,01.18.2003,2.00,1,Night Monsters
559,Batman #462,Batman,1,462,,DC,May 91,1.00,Downtown Books (Milwaukee WI),2007.07.21,0.89,1,
560,Batman #463,Batman,1,463,,DC,Jun 91,1.00,Downtown Books (Milwaukee WI),2007.07.21,0.79,1,
561,Batman #464,Batman,1,464,,DC,Early July 91,1.00,Downtown Books (Milwaukee WI),2007.07.21,0.79,1,
367,Batman #466,Batman,1,466,,DC,Early Aug 91,1.00,The Great Escape,01.18.2003,2.00,1,No More Heroes
5,Batman #467,Batman,1,467,,DC,Late Aug 91,1.00,,,,1,Shadow Box Part One
6,Batman #468,Batman,1,468,,DC,Early Sep 91,1.00,,,,1,Shadow Box Part Two
7,Batman #469,Batman,1,469,,DC,Late Sep 91,1.00,,,,1,Shadow Box Part Three
357,Batman #470,Batman,1,470,,DC,Oct 91,1.00,Power House Comics,12.20.2002,1.75,1,War of the Gods 15 (?)
8,Batman #471,Batman,1,471,,DC,Nov 91,1.00,,,,1,
9,Batman #472,Batman,1,472,,DC,Dec 91,1.00,,,,1,The Idiot Root Part One
10,Batman #473,Batman,1,473,,DC,Jan 92,1.00,,,,1,The Idiot Root Part Three
11,Batman #474,Batman,1,474,,DC,Feb 92,1.00,,,,1,The Destroyer Part One: A Tale of Two Cities
12,Batman #475,Batman,1,475,,DC,Mar 92,1.00,,,,1,The Return of Scarface Part One
13,Batman #476,Batman,1,476,,DC,Apr 92,1.00,,,,1,The Return of Scarface Part Three: The Gig Heat
410,Batman #477,Batman,1,477,,DC,Early May 92,1.25,The Great Escape,03.14.2003,2.25,1,A Gotham Tale Part 1: Gargoyles
411,Batman #478,Batman,1,478,,DC,Late May 92,1.25,The Great Escape,03.14.2003,2.00,1,A Gotham Tale Part 2: Venging Spirits
493,Batman #479,Batman,1,479,,DC,Early June 92,1.25,Westfield's Comics (Madison),2006.04.29,2.00,1,
14,Batman #481,Batman,1,481,,DC,Early July 92,1.25,,,,1,Messenger of Zeus
358,Batman #482,Batman,1,482,,DC,July 92,1.25,Power House Comics,12.20.2002,1.75,1,Vengeance of the Harpy
368,Batman #483,Batman,1,483,,DC,Aug 92,1.25,The Great Escape,01.18.2003,2.00,1,Crash & Burn: A Love Story
369,Batman #484,Batman,1,484,,DC,Sep 92,1.25,The Great Escape,01.18.2003,2.00,1,War Paint
370,Batman #485,Batman,1,485,,DC,Oct 92,1.25,The Great Escape,01.18.2003,2.00,1,Faces of Death
15,Batman Family #9,The Batman Family,3,9,,DC,Feb 77,0.50,,,,1,
16,Batman: Gotham Nights #1,Batman: Gotham Nights,1,1,,DC,March 92,1.25,,,,1,Part One of Four
17,Batman: Gotham Nights #2,Batman: Gotham Nights,1,2,,DC,April 92,1.25,,,,1,Part Two of Four
